C72-珍珠串星系                               55                              
C17                                    147                              
C18                                    185                              
C62-伯比奇链                               247                              
C65-玉夫座星系                              253                              
C70-南风车星系                              300                              
PGC3589                               9000                              
C51                                  I1613                              
仙人掌星系                                 1023                              
C67                                   1097                              
上帝之眼星系                                1232                              
天炉座A                                  1316                              
大棒旋星系                                 1365                              
波江座A星系群                               1407                              
C5-马费伊1星系群                           I 342                              
PGC19441                              9001                              
C7                                    2403                              
UFO星系                                 2683                              
虎眼星系                                  2841                              
花环星系                                  3077                              
C53-纺锤星系                              3115                              
眼镜框星系                                 3621                              
汉堡星系                                  3628                              
C3                                    4236                              
C21                                   4449                              
茧星系                                   4490                              
遗失星系                                  4526                              
科普兰遗失星系                               4535                              
C36-锦鲤星系                              4559                              
C38-针状星系                              4565                              
C32-鲸鱼星系                              4631                              
C52                                   4697                              
尘卷暴星系                                 4753                              
C83-镊子星系                              4945                              
C29                                   5005                              
柱十一之魂                                 5102                              
C77-半人马座A                             5128                              
M51替代者                                5195                              
C101                                  6744                              
C57-巴纳德星系                             6822                              
C12-烟花星系                              6946                              
C30-鹿舔星系群                             7331                              
邦德星系                                  7793                              
