M110                                   205                              
仙女座星系中的大恒星云                            206                              
M32                                    221                              
M31-仙女座星系                              224                              
奎宿九之魂                                  404                              
C23                                    891                              
C22-蓝雪球星云                             7662                              
Mel214-飞独角兽星团                         6709                              
Cr397-可能的双星团                          6755                              
Cr398-可能的双星团                          6756                              
雪球星云                                  6781                              
收缩星云                                  6804                              
M72                                   6981                              
C55-土星状星云                             7009                              
M2                                    7089                              
C63-螺旋星云                              7293                              
蕨菜星系                                   772                              
Mel27-4-H 星团                          1664                              
Cr58                                  1778                              
Mel32                                 1857                              
小蝌蚪星云                                I 410                              
Mel33-字母Y星团                           1893                              
Cr64                                  1883                              
Mel35                                 1907                              
M38-海星星团                              1912                              
Cr68-苍蝇星云                             1931                              
M36-风车星团                              1960                              
M37-一月椒盐星团                            2099                              
Mel39                                 2126                              
Mel42                                 2192                              
Mel51-碎心星团                            2281                              
C45                                   5248                              
Mel124-雪球星团                           5466                              
骆驼之眼星云                                1501                              
Cr45-海盗旗星团                            1502                              
脏手星系                                  2146                              
C7                                    2403                              
柠檬片星云                                I3568                              
M30-海蜇星团                              7099                              
星爆星系                                 I  10                              
C17                                    147                              
C18                                    185                              
Cr462                                  189                              
Cr7-帆船星团                               225                              
吃豆人星云                                  281                              
Cr10                                   381                              
Mel6                                   436                              
C13-蜻蜓星团                               457                              
M103                                   581                              
Cr17                                   637                              
Mel9-迷蝶星团                              654                              
Mel10-阴阳星团                             659                              
C10-割草机星团                              663                              
Mel15-心脏星云                           I1805                              
M52-仙后座椒盐星团                           7654                              
Mel245-卡洛琳玫瑰星团                        7789                              
Cr461-寡妇的网星团                          7790                              
柱十一之魂                                 5102                              
C2-蝴蝶结星云                                40                              
C1-近极星团                                188                              
Mel231-鬼套星团                           6939                              
C12-烟花星系                              6946                              
Cr443-短吻鳄星团                           7160                              
Cr452-巫师星云                            7380                              
King10                               I9637                              
Cr454-睡鼠星团                            7510                              
Mel244                                7762                              
C56-头骨星云                               246                              
C62-伯比奇链                               247                              
小主轴星系                                  584                              
M77-鲸鱼座A                              1068                              
Mel44                                 2204                              
M41-小蜂巢星团                             2287                              
Mel61                                 2345                              
Cr131                                 2354                              
C58-卡罗琳星团                             2360                              
雷神的头盔                                 2359                              
C64-弧矢增六星团                            2362                              
Cr139                                 2374                              
M67-金眼星团                              2682                              
踢罐星团                                  4147                              
M98                                   4192                              
M99-室女座星系团风车                          4254                              
M100-吹风机星系                            4321                              
M85                                   4382                              
M88                                   4501                              
M91                                   4548                              
C36-锦鲤星系                              4559                              
C38-针状星系                              4565                              
M64-黑眼星系                              4826                              
M53                                   5024                              
Cr267                                 5053                              
C60-触须星系                              4038                              
C61-触须星系                              4039                              
洒水器星云                                 4361                              
C26                                   4244                              
M106                                  4258                              
C21                                   4449                              
茧星系                                   4490                              
C32-鲸鱼星系                              4631                              
撬棒星系                                  4656                              
鱼钩星系                                  4657                              
M94-鳄鱼眼星系                             4736                              
C29                                   5005                              
M63-向日葵星系                             5055                              
M51-涡状星系                              5194                              
M51替代者                                5195                              
M3                                    5272                              
Mel222-洞穴星团                           6811                              
Mel223-狐头星团                           6819                              
C15-眨眼行星状星云                           6826                              
Mel225                                6834                              
Mel229-风筝星团                           6866                              
C27-眉月星云                              6888                              
Cr420-尺蠖星团                            6910                              
M29-冷却塔星团                             6913                              
C33-东面纱星云                             6992                              
网星云                                   6995                              
C34-纤维星云                              6960                              
弗莱明三角星云                               6979                              
胎儿星云                                  7008                              
乳酪汉堡星云                                7026                              
粉枕星云                                  7027                              
Cr433                                 7044                              
Cr435                                 7063                              
Cr437                                 7086                              
M39                                   7092                              
蓝闪星云                                  6905                              
C47                                   6934                              
C42                                   7006                              
M102-纺锤星系                             5866                              
太空迷航星系                                6503                              
C6-猫眼星云                               6543                              
上帝之眼星系                                1232                              
波江座A星系群                               1407                              
埃及艳后之眼星云                              1535                              
天炉座A                                  1316                              
知更鸟蛋星云                                1360                              
大棒旋星系                                 1365                              
Cr77                                  2129                              
Mel40                                 2158                              
M35-鞋扣星团                              2168                              
Mel50                                 2266                              
Mel63                                 2355                              
双子座星云                                 2371                              
C39-爱斯基摩星云                            2392                              
Mel69-彗闪星团                            2420                              
白眼豌豆星云                               I4593                              
M13-武仙座球状星团                           6205                              
乌龟星云                                  6210                              
M92                                   6341                              
M48-蜂巢星团                              2548                              
C59-木魂星云                              3242                              
眼镜框星系                                 3621                              
M68                                   4590                              
M83-南风车星系                             5236                              
Mel238-飞蜥星团                           7209                              
Mel239                               I1434                              
C16                                   7243                              
Mel241                                7245                              
M95                                   3351                              
M96                                   3368                              
M105                                  3379                              
M65-狮子座三重星系                           3623                              
M66-狮子座三重星系                           3627                              
汉堡星系                                  3628                              
M79                                   1904                              
万花尺星云                                I 418                              
Mel132-鬼魂球状星团                         5897                              
洋葱切片星系                                3344                              
