奎宿九之魂                                  404                              
C28                                    752                              
C23                                    891                              
C22-蓝雪球星云                             7662                              
Cr456                                 7686                              
C107                                  6101                              
Mel214-飞独角兽星团                         6709                              
Cr397-可能的双星团                          6755                              
B133                                  9000                              
Cr398-可能的双星团                          6756                              
雪球星云                                  6781                              
收缩星云                                  6804                              
B142                                  9001                              
B143                                  9002                              
C55-土星状星云                             7009                              
C63-螺旋星云                              7293                              
环星云                                   6188                              
C82                                   6193                              
C81                                   6352                              
C86                                   6397                              
蕨菜星系                                   772                              
Mel27-4-H 星团                          1664                              
Cr58                                  1778                              
C31-火焰之星星云                           I 405                              
Mel32                                 1857                              
小蝌蚪星云                                I 410                              
Mel33-字母Y星团                           1893                              
Mel35                                 1907                              
蜘蛛星云                                 I 417                              
Cr68-苍蝇星云                             1931                              
Mel39                                 2126                              
Mel51-碎心星团                            2281                              
C45                                   5248                              
Mel124-雪球星团                           5466                              
C5-马费伊1星系群                           I 342                              
骆驼之眼星云                                1501                              
Cr45-海盗旗星团                            1502                              
C7                                    2403                              
C96-短跑人星团                             2516                              
C90                                   2867                              
C102-南天七姐妹星团                         I2602                              
C92-船底座星云                             3372                              
C91-许愿井星团                             3532                              
Cr2                                    129                              
Cr4                                    136                              
C17                                    147                              
C18                                    185                              
Cr7-帆船星团                               225                              
吃豆人星云                                  281                              
策星云                                  I  59                              
策星云                                  I  63                              
Cr10                                   381                              
Mel6                                   436                              
C13-蜻蜓星团                               457                              
C8                                     559                              
Cr17                                   637                              
Mel9-迷蝶星团                              654                              
Mel10-阴阳星团                             659                              
C10-割草机星团                              663                              
Mel16                                 1027                              
C11-气泡星云                              7635                              
Mel245-卡洛琳玫瑰星团                        7789                              
Cr461-寡妇的网星团                          7790                              
C97-珍珠星团                              3766                              
C100-奔鸡星云                            I2944                              
C83-镊子星系                              4945                              
C77-半人马座A                             5128                              
C80-半人马座奥米茄星团                         5139                              
C84                                   5286                              
C2-蝴蝶结星云                                40                              
C1-近极星团                                188                              
Mel231-鬼套星团                           6939                              
C12-烟花星系                              6946                              
C4-鸢尾花星云                              7023                              
