Mel214-飞独角兽星团                         6709                              
B143                                  9000                              
Mel51-碎心星团                            2281                              
雷神的头盔                                 2359                              
Mel98-手状星团                            3114                              
Mel100-宝石星团                           3293                              
Mel104-利普-托恩星团                       I2714                              
策星云                                  I  59                              
策星云                                  I  63                              
Mel245-卡洛琳玫瑰星团                        7789                              
蓝行星状星云                                3918                              
柱十一之魂                                 5102                              
Mel120-小蝎星团                           5281                              
Mel123                                5460                              
Cr439-象鼻星云                           I1396                              
Cr443-短吻鳄星团                           7160                              
Cr452-巫师星云                            7380                              
Mel109-长尾星团                           4103                              
Cr413                                 6871                              
Cr415                                 6883                              
Cr418-天鹅座P星团                         I4996                              
Cr420-尺蠖星团                            6910                              
B346                                  9001                              
Cr430                                 7031                              
太空迷航星系                                6503                              
Mel239                               I1434                              
Mel130                                5822                              
Cr101                                 2251                              
Mel49-圣诞树星团                           2264                              
Mel54-海格的龙星团                          2301                              
Mel62-艾弗里岛星团                          2353                              
Cr297                                 6031                              
Mel179-夏季蜂巢星团                        I4665                              
B67                                   9002                              
心宿增四星云                               I4604                              
Cr72-猎户座遗失宝石                          1980                              
Cr73-煤车星团                             1981                              
史蒂芬五重星系                               7320                              
Mel23-M&M双星团                          1528                              
Cr51                                  1582                              
NGC 383星系群                             383                              
Mel70                                 2423                              
Mel96                                 2818                              
Mel155                                6242                              
邦德星系                                  7793                              
B318                                  9003                              
Mel210-格拉夫星团                         I4756                              
Mel194                                6558                              
水晶球星云                                 1514                              
Mel26-海盗之月星团                          1647                              
小麦哲伦云                                  292                              
Mel84-金耳环星团                           2547                              
Cr192                                I2395                              
Mel93                                 2670                              
铅笔星云                                  2736                              
星系构成的脸                                4387                              
双眼星系                                  4435                              
马卡良星系链                                4473                              
NGC4486A                              8114                              
双胞胎星系                                 4567                              
双胞胎星系                                 4568                              
Cr400                                 6802                              
Mel232-魔斯拉星团                          6940                              
