奎宿九之魂                                  404                              
C28                                    752                              
C22-蓝雪球星云                             7662                              
Mel214-飞独角兽星团                         6709                              
雪球星云                                  6781                              
C55-土星状星云                             7009                              
M2                                    7089                              
Mel32                                 1857                              
Mel31                                I8008                              
Mel35                                 1907                              
M38-海星星团                              1912                              
Cr68-苍蝇星云                             1931                              
M36-风车星团                              1960                              
M37-一月椒盐星团                            2099                              
Mel124-雪球星团                           5466                              
骆驼之眼星云                                1501                              
Stock23                              I9201                              
Cr7-帆船星团                               225                              
C13-蜻蜓星团                               457                              
M103                                   581                              
C10-割草机星团                              663                              
Mel245-卡洛琳玫瑰星团                        7789                              
Stock2                               I9185                              
Cr3                                    133                              
Cr5                                    146                              
King14                               I9161                              
Mel231-鬼套星团                           6939                              
小主轴星系                                  584                              
达斯·维德的星际战舰                             936                              
C58-卡罗琳星团                             2360                              
踢罐星团                                  4147                              
C36-锦鲤星系                              4559                              
C38-针状星系                              4565                              
洒水器星云                                 4361                              
C21                                   4449                              
茧星系                                   4490                              
C32-鲸鱼星系                              4631                              
M94-鳄鱼眼星系                             4736                              
C29                                   5005                              
M63-向日葵星系                             5055                              
M51-涡状星系                              5194                              
M3                                    5272                              
C15-眨眼行星状星云                           6826                              
Mel229-风筝星团                           6866                              
Cr413                                 6871                              
Cr420-尺蠖星团                            6910                              
C34-纤维星云                              6960                              
C33-东面纱星云                             6992                              
C20-北美洲星云                             7000                              
粉枕星云                                  7027                              
蓝闪星云                                  6905                              
C47                                   6934                              
C6-猫眼星云                               6543                              
波江座A星系群                               1407                              
埃及艳后之眼星云                              1535                              
C67                                   1097                              
C39-爱斯基摩星云                            2392                              
Mel69-彗闪星团                            2420                              
乌龟星云                                  6210                              
彗星奖球状星团                               6229                              
C59-木魂星云                              3242                              
C16                                   7243                              
M105                                  3379                              
M66-狮子座三重星系                           3627                              
M65-狮子座三重星系                           3623                              
Mel132-鬼魂球状星团                         5897                              
UFO星系                                 2683                              
C54                                   2506                              
Cr93-双锥状星团                            2232                              
C50-玫瑰星云                              2244                              
Mel54-海格的龙星团                          2301                              
M107-十字架星团                            6171                              
M12-口香糖球状星团                           6218                              
M10                                   6254                              
M19                                   6273                              
M9                                    6333                              
M14                                   6402                              
蓝壁球星云                                 6572                              
Mel201-双胞胎星团                          6633                              
Cr73-煤车星团                             1981                              
吻月星云                                  2022                              
火焰星云                                  2024                              
Cr83-37星团                             2169                              
仙人掌星系                                 1023                              
C14-双星团                                869                              
C14-双星团                                884                              
Cr28                                   957                              
Mel18-帕特里克海星星团                        1245                              
Mel23-M&M双星团                          1528                              
菲尔瑟213                                2409                              
M47                                   2422                              
M46                                   2437                              
白蝴蝶星云                                 2440                              
M93-蝴蝶星团                              2447                              
Cr166                                 2482                              
Mel83-盘状星团                            2539                              
C65-玉夫座星系                              253                              
Mel3                                   288                              
Mel215                                6712                              
Mel210-格拉夫星团                         I4756                              
C53-纺锤星系                              3115                              
Cr369                                 6568                              
小宝石星云                                 6818                              
M45-昴星团                              I8126                              
Mel25                                I8007                              
昴宿五星云                                 1435                              
Mel26-海盗之月星团                          1647                              
虎眼星系                                  2841                              
银纹星系                                  4216                              
遗失星系                                  4526                              
C52                                   4697                              
Mel126                                5634                              
Mel232-魔斯拉星团                          6940                              
