Cr2                                    129                              
C65-玉夫座星系                              253                              
C13-蜻蜓星团                               457                              
C10-割草机星团                              663                              
Cr463                                I8001                              
C28                                    752                              
Stock2                               I9185                              
C14-双星团                                869                              
C14-双星团                                884                              
Stock23                              I9201                              
Mel20                                I8006                              
Mel21-小蝎星团                            1342                              
Mel23-M&M双星团                          1528                              
Mel25                                I8007                              
Cr51                                  1582                              
Mel26-海盗之月星团                          1647                              
Cr55                                  1662                              
Mel28                                 1746                              
Mel29-贫双星团                            1807                              
Cr60-贫双星团                             1817                              
Mel33-字母Y星团                           1893                              
Mel35                                 1907                              
Cr73-煤车星团                             1981                              
Cr83-37星团                             2169                              
Cr93-双锥状星团                            2232                              
C50-玫瑰星云                              2244                              
Cr101                                 2251                              
Mel49-圣诞树星团                           2264                              
Mel51-碎心星团                            2281                              
Mel54-海格的龙星团                          2301                              
Cr128-箭头星团                            2343                              
C58-卡罗琳星团                             2360                              
C7                                    2403                              
Cr174                                 2527                              
Mel83-盘状星团                            2539                              
Cr181                                 2571                              
Mel111                               I8074                              
Mel179-夏季蜂巢星团                        I4665                              
Mel187-亡灵宝藏星团                         6520                              
Mel201-双胞胎星团                          6633                              
Mel210-格拉夫星团                         I4756                              
Mel214-飞独角兽星团                         6709                              
Cr393                                 6716                              
Cr399                                I8116                              
Mel223-狐头星团                           6819                              
Cr405                                 6823                              
Cr420-尺蠖星团                            6910                              
C47                                   6934                              
Mel232-魔斯拉星团                          6940                              
Cr435                                 7063                              
Cr443-短吻鳄星团                           7160                              
Mel238-飞蜥星团                           7209                              
Cr447                                 7235                              
C16                                   7243                              
Mel245-卡洛琳玫瑰星团                        7789                              
