C106-杜鹃座47球状星团                         104                              
C104                                   362                              
C87                                   1261                              
C73                                   1851                              
C103-狼蛛星云                             2070                              
Cr161-刺蝎星团                            2451                              
C71-电吉他星团                             2477                              
C96-短跑人星团                             2516                              
Mel84-金耳环星团                           2547                              
Cr178-心与匕首星团                          2546                              
Mel87                                 2627                              
C85-船帆座ο星团                           I2391                              
Cr192                                I2395                              
Mel91                                 2659                              
Mel93                                 2670                              
Mel95                                 2808                              
Mel97-珍珠串星团                          I2488                              
Cr209                                 2910                              
Cr210                                 2925                              
Mel98-手状星团                            3114                              
C79                                   3201                              
Cr218-女王的私藏星团                         3228                              
Mel100-宝石星团                           3293                              
Mel101                               I8059                              
C102-南天七姐妹星团                         I2602                              
C92-船底座星云                             3372                              
C91-许愿井星团                             3532                              
Mel104-利普-托恩星团                       I2714                              
Mel105                               I8070                              
C97-珍珠星团                              3766                              
Cr251                                 4052                              
Mel109-长尾星团                           4103                              
Cr254                                 4337                              
Mel110                                4349                              
Cr260                                 4463                              
C98-煤袋星团                              4609                              
C94-宝盒星团                              4755                              
Cr265                                 4815                              
C105-南天蝴蝶星团                           4833                              
Mel116                                4852                              
C77-半人马座A                             5128                              
C80-半人马座奥米茄星团                         5139                              
C84                                   5286                              
Mel122                                5316                              
Mel123                                5460                              
Mel125-德古拉星团                          5617                              
Mel127-舞毒蛾星团                          5662                              
Mel130                                5822                              
C88                                   5823                              
Cr291                                 5925                              
C95                                   6025                              
Mel140                                6067                              
C89-矩尺座S星团                            6087                              
C75                                   6124                              
Mel146-小枕星团                           6134                              
Cr304                                 6152                              
Cr305                                 6167                              
Cr313                                 6208                              
C76-伪彗星星云                             6231                              
Mel169                               I4651                              
C81                                   6352                              
Mel172                                6362                              
C86                                   6397                              
C78-砂锅星团                              6541                              
Mel196                                6584                              
C93-孔雀座球状星团                           6752                              
