C49-玫瑰星云                              2237                              
Mel15-心脏星云                           I1805                              
C91-许愿井星团                             3532                              
Mel210-格拉夫星团                         I4756                              
C20-北美洲星云                             7000                              
C96-短跑人星团                             2516                              
M33-三角座星系                              598                              
M44-蜂巢星团                              2632                              
M7-托勒密星团                              6475                              
M24                                  I4715                              
小麦哲伦云                                  292                              
M42-猎户座大星云                            1976                              
M45-昴星团                              I8126                              
Mel98-手状星团                            3114                              
C28                                    752                              
加利福尼亚星云                               1499                              
Mel26-海盗之月星团                          1647                              
Mel28                                 1746                              
M8-礁湖星云                               6523                              
M17-奥米茄星云                             6618                              
M31-仙女座星系                              224                              
C50-玫瑰星云                              2244                              
M48-蜂巢星团                              2548                              
M25                                  I4725                              
C14-双星团                                884                              
C14-双星团                                869                              
M20-三裂星云                              6514                              
C72-珍珠串星系                               55                              
Cr304                                 6152                              
吃豆人星云                                  281                              
M46                                   2437                              
Cr178-心与匕首星团                          2546                              
C75                                   6124                              
跑步者星云                                 1977                              
C71-电吉他星团                             2477                              
M23                                   6494                              
M41-小蜂巢星团                             2287                              
M16-鹰星云                               6611                              
Mel23-M&M双星团                          1528                              
M35-鞋扣星团                              2168                              
M6-蝴蝶星团                               6405                              
M13-武仙座球状星团                           6205                              
M39                                   7092                              
C106-杜鹃座47球状星团                         104                              
C80-半人马座奥米茄星团                         5139                              
C31-火焰之星星云                           I 405                              
Mel245-卡洛琳玫瑰星团                        7789                              
Mel18-帕特里克海星星团                        1245                              
小蝌蚪星云                                I 410                              
M101-风车星系                             5457                              
Mel209-圣诞雪橇星团                         6664                              
Mel232-魔斯拉星团                          6940                              
C16                                   7243                              
C108                                  4372                              
M4-蟹状星团                               6121                              
Mel97-珍珠串星团                          I2488                              
M93-蝴蝶星团                              2447                              
C86                                   6397                              
Cr218-女王的私藏星团                         3228                              
M34-螺旋星团                              1039                              
M38-海星星团                              1912                              
M37-一月椒盐星团                            2099                              
M3                                    5272                              
M22-人马座大星团                            6656                              
M47                                   2422                              
C103-狼蛛星云                             2070                              
C5-马费伊1星系群                           I 342                              
C70-南风车星系                              300                              
C1-近极星团                                188                              
Mel110                                4349                              
Mel158                                6259                              
Mel222-洞穴星团                           6811                              
Cr60-贫双星团                             1817                              
Mel125-德古拉星团                          5617                              
Mel140                                6067                              
Cr7-帆船星团                               225                              
昴宿五星云                                 1435                              
M67-金眼星团                              2682                              
C93-孔雀座球状星团                           6752                              
M55-幽灵星团                              6809                              
Mel51-碎心星团                            2281                              
C76-伪彗星星云                             6231                              
Mel49-圣诞树星团                           2264                              
Mel84-金耳环星团                           2547                              
C82                                   6193                              
Cr46                                  1513                              
Mel33-字母Y星团                           1893                              
Mel214-飞独角兽星团                         6709                              
M52-仙后座椒盐星团                           7654                              
C63-螺旋星云                              7293                              
M5-玫瑰星团                               5904                              
M36-风车星团                              1960                              
M11-野鸭星团                              6705                              
Cr210                                 2925                              
C10-割草机星团                              663                              
C57-巴纳德星系                             6822                              
Mel91                                 2659                              
C7                                    2403                              
C58-卡罗琳星团                             2360                              
Mel205                                6645                              
M81-波德星系                              3031                              
C79                                   3201                              
M53                                   5024                              
M12-口香糖球状星团                           6218                              
Mel29-贫双星团                            1807                              
Mel3                                   288                              
C13-蜻蜓星团                               457                              
M21-韦伯的十字架                            6531                              
M15-飞马座星团                             7078                              
C104                                   362                              
M50-心状星团                              2323                              
C95                                   6025                              
Cr362-赫歇尔36                           6530                              
C94-宝盒星团                              4755                              
C51                                  I1613                              
Mel96                                 2818                              
C88                                   5823                              
C101                                  6744                              
M26                                   6694                              
M74-幻影星系                               628                              
Mel206                                6649                              
Mel132-鬼魂球状星团                         5897                              
M68                                   4590                              
Mel172                                6362                              
Mel32                                 1857                              
C12-烟花星系                              6946                              
Cr267                                 5053                              
C33-东面纱星云                             6992                              
Mel67                                 2421                              
Mel231-鬼套星团                           6939                              
Mel87                                 2627                              
C81                                   6352                              
Cr437                                 7086                              
M79                                   1904                              
M83-南风车星系                             5236                              
M103                                   581                              
Mel229-风筝星团                           6866                              
C77-半人马座A                             5128                              
Cr45-海盗旗星团                            1502                              
M10                                   6254                              
M92                                   6341                              
Cr420-尺蠖星团                            6910                              
Mel100-宝石星团                           3293                              
Mel149                                6192                              
M80                                   6093                              
M18-黑天鹅星团                             6613                              
M29-冷却塔星团                             6913                              
Mel217-吊灯星团                           6723                              
M2                                    7089                              
M106                                  4258                              
上帝之眼星系                                1232                              
C34-纤维星云                              6960                              
Mel223-狐头星团                           6819                              
Cr430                                 7031                              
M14                                   6402                              
M54                                   6715                              
M71-神仙鱼星团                             6838                              
C65-玉夫座星系                              253                              
