NGC 1,12.9,1.7,1.2
NGC 2,14.2,1.0,0.6
NGC 3,13.3,1.1,0.6
NGC 4,16.0,0.6,0.3
NGC 5,13.3,1.2,0.7
NGC 7,13.9,2.2,0.5
NGC 9,13.6,1.1,0.7
NGC 10,12.5,2.4,1.2
NGC 11,13.7,1.5,0.3
NGC 12,13.1,1.6,1.5
NGC 13,13.2,2.3,0.6
NGC 14,12.1,2.8,2.1
NGC 15,13.8,1.0,0.6
NGC 16,12.0,1.8,1.0
NGC 17,13.8,2.1,0.8
NGC 19,14.1,1.1,0.6
NGC 20,13.0,1.7,1.6
NGC 21,12.7,1.5,0.7
NGC 22,13.6,1.7,1.3
NGC 23,12.0,2.5,1.6
NGC 24,11.6,6.1,1.4
NGC 25,13.0,1.4,0.8
NGC 26,12.7,2.1,1.4
NGC 27,13.4,1.2,0.5
NGC 28,13.6,0.6,0.6
NGC 29,12.7,1.5,0.7
NGC 31,15.0,1.3,0.7
NGC 34,13.8,2.1,0.8
NGC 35,14.0,0.7,0.5
NGC 36,13.1,2.2,1.4
NGC 37,13.7,1.1,0.7
NGC 38,13.5,1.4,1.3
NGC 39,13.5,1.1,1.0
NGC 40,10.7,1.0,0.6667
NGC 41,13.6,0.8,0.5
NGC 42,13.8,1.1,0.6
NGC 43,12.6,1.6,1.5
NGC 45,10.6,7.6,5.4
NGC 47,13.8,2.3,2.1
NGC 48,13.6,1.6,1.0
NGC 49,13.7,1.1,1.0
NGC 50,12.4,2.4,1.8
NGC 51,13.1,1.7,1.4
NGC 52,13.3,2.2,0.4
NGC 53,13.5,2.0,1.4
NGC 54,14.6,1.3,0.5
NGC 55,7.9,31.2,5.9
NGC 57,11.6,2.2,1.9
NGC 58,13.8,2.3,2.1
NGC 59,12.4,2.6,1.3
NGC 60,14.1,1.3,1.2
NGC 62,14.4,1.1,0.8
NGC 63,11.6,1.7,1.2
NGC 64,14.0,1.6,1.1
NGC 65,15.0,1.0,0.8
NGC 66,13.4,1.2,0.7
NGC 67,14.2,0.3,0.2
NGC 68,12.9,1.2,1.1
NGC 69,14.8,0.5,0.3
NGC 70,13.5,1.6,1.4
NGC 71,13.2,1.5,1.2
NGC 72,13.5,1.1,0.9
NGC 73,13.6,1.7,1.2
NGC 74,16.0,0.8,0.3
NGC 75,13.2,1.5,1.5
NGC 76,13.0,1.0,0.9
NGC 77,15.0,0.4,0.4
NGC 79,15.0,0.5,0.5
NGC 80,12.1,2.2,2.0
NGC 81,16.4,0.2,0.1
NGC 83,12.5,1.3,1.2
NGC 86,15.0,0.7,0.3
NGC 87,14.3,0.9,0.7
NGC 88,14.4,0.8,0.5
NGC 89,13.5,1.2,0.6
NGC 90,14.5,1.9,0.8
NGC 92,13.1,1.9,0.9
NGC 93,13.3,1.4,0.6
NGC 94,15.5,0.4,0.2
NGC 95,12.5,2.1,0.9
NGC 96,17.0,0.7,0.7
NGC 97,12.3,1.5,1.3
NGC 98,13.4,1.6,1.3
NGC 99,13.6,1.4,1.3
NGC 100,13.3,5.7,0.6
NGC 101,12.8,2.1,2.0
NGC 102,14.0,1.0,0.7
NGC 103,9.8,5.0,5.0
NGC 104,4.0,30.0,30.0
NGC 105,13.2,1.1,0.7
NGC 106,15.1,0.9,0.7
NGC 107,16.0,0.9,0.6
NGC 108,12.1,2.0,1.6
NGC 109,13.7,1.1,1.0
NGC 110,99.9,19.0,19.0
NGC 112,13.5,1.0,0.5
NGC 113,13.5,1.4,1.0
NGC 114,13.7,0.8,0.7
NGC 115,12.9,1.9,0.9
NGC 116,14.5,0.8,0.4
NGC 117,14.3,0.7,0.4
NGC 118,14.0,0.7,0.5
NGC 119,13.1,1.0,1.0
