SNR G184.6-05.8	NGC1952
SNR G351.1+00.7	NGC6334
SNR G118.3+04.8	NGC7822
SNR G189.0+03.0	IC443
Cr1	NGC103
Cr2	NGC129
Cr3	NGC133
Cr4	NGC136
Cr5	NGC146
Cr6	NGC188
Cr7	NGC225
Cr8	IC1590
Cr9	NGC366
Cr10	NGC381
Cr11	NGC436
Cr12	NGC457
Cr13	NGC559
Cr14	NGC581
Cr16	NGC609
Cr17	NGC637
Cr18	NGC654
Cr19	NGC659
Cr20	NGC663
Cr22	NGC744
Cr23	NGC752
Cr24	NGC869
Cr25	NGC884
Cr27	NGC956
Cr28	NGC957
Cr30	NGC1027
Cr31	NGC1039
Cr32	IC1848
Cr33	IC1848
Cr34	IC1848
Cr35	NGC1193
Cr37	NGC1220
Cr38	NGC1245
Cr40	NGC1342
Cr41	IC348
Cr43	NGC1444
Cr44	NGC1496
Cr45	NGC1502
Cr46	NGC1513
Cr47	NGC1528
Cr48	IC361
Cr49	NGC1545
Cr51	NGC1582
Cr52	NGC1605
Cr53	NGC1624
Cr54	NGC1647
Cr55	NGC1662
Cr56	NGC1664
Cr57	NGC1746
Cr58	NGC1778
Cr59	NGC1807
Cr60	NGC1817
Cr61	NGC1857
Cr63	NGC1893
Cr64	NGC1883
Cr66	NGC1907
Cr67	NGC1912
Cr68	NGC1931
Cr71	NGC1960
Cr72	NGC1980
Cr73	NGC1981
Cr75	NGC2099
Cr76	NGC2112
Cr77	NGC2129
Cr78	NGC2126
Cr79	NGC2141
Cr81	NGC2158
Cr82	NGC2168
Cr83	NGC2169
Cr84	NGC2175
Cr85	NGC2186
Cr86	NGC2192
Cr87	NGC2194
Cr88	NGC2204
Cr90	NGC2215
Cr93	NGC2232
Cr94	NGC2236
Cr98	NGC2243
Cr99	NGC2244
Cr100	NGC2250
Cr101	NGC2251
Cr102	NGC2252
Cr103	NGC2254
Cr108	NGC2259
Cr109	NGC2262
Cr112	NGC2264
Cr113	NGC2266
Cr114	NGC2269
Cr116	NGC2281
Cr117	NGC2286
Cr118	NGC2287
Cr119	NGC2301
Cr120	NGC2304
Cr122	NGC2309
Cr123	NGC2311
Cr124	NGC2323
Cr125	NGC2324
Cr126	NGC2331
Cr127	NGC2335
Cr128	NGC2343
Cr129	NGC2345
Cr130	NGC2353
Cr131	NGC2354
Cr133	NGC2355
Cr134	NGC2360
Cr136	NGC2362
Cr137	NGC2367
Cr138	NGC2368
Cr139	NGC2374
Cr141	NGC2383
Cr142	NGC2384
Cr143	NGC2384
Cr144	NGC2395
Cr148	NGC2396
Cr149	NGC2401
Cr150	NGC2414
Cr151	NGC2421
Cr152	NGC2422
Cr153	NGC2423
Cr154	NGC2420
Cr157	NGC2432
Cr158	NGC2439
Cr159	NGC2437
Cr160	NGC2447
Cr161	NGC2451
Cr162	NGC2453
Cr163	NGC2455
Cr164	NGC2467
Cr165	NGC2477
Cr166	NGC2482
Cr169	NGC2489
Cr170	NGC2506
Cr171	NGC2509
Cr172	NGC2516
Cr174	NGC2527
Cr175	NGC2533
Cr176	NGC2539
Cr177	NGC2547
Cr178	NGC2546
Cr179	NGC2548
Cr180	NGC2567
Cr181	NGC2571
Cr182	NGC2579
Cr183	NGC2580
Cr184	NGC2587
Cr186	NGC2588
Cr188	NGC2627
Cr189	NGC2632
Cr190	NGC2635
Cr191	IC2391
Cr192	IC2395
Cr193	NGC2660
Cr194	NGC2659
Cr195	NGC2658
Cr199	NGC2669
Cr200	NGC2670
Cr201	NGC2671
Cr204	NGC2682
Cr206	NGC2818
Cr207	NGC2849
Cr208	IC2488
Cr209	NGC2910
Cr210	NGC2925
Cr211	NGC2972
Cr212	NGC3033
Cr214	NGC3105
Cr215	NGC3114
Cr218	NGC3228
Cr221	NGC3255
Cr222	IC2581
Cr224	NGC3293
Cr225	NGC3324
Cr226	NGC3330
Cr229	IC2602
Cr237	NGC3496
Cr238	NGC3532
Cr239	NGC3572
Cr242	NGC3590
Cr244	NGC3603
Cr245	IC2714
Cr247	NGC3680
Cr248	NGC3766
Cr250	NGC3960
Cr251	NGC4052
Cr252	NGC4103
Cr253	NGC4230
Cr254	NGC4337
Cr255	NGC4349
Cr259	NGC4439
Cr260	NGC4463
Cr263	NGC4609
Cr264	NGC4755
Cr265	NGC4815
Cr266	NGC4852
Cr267	NGC5053
Cr270	NGC5138
Cr273	NGC5168
Cr276	NGC5281
Cr278	NGC5288
Cr279	NGC5316
Cr280	NGC5460
Cr281	NGC5606
Cr282	NGC5617
Cr284	NGC5662
Cr286	NGC5715
Cr287	NGC5749
Cr288	NGC5764
Cr289	NGC5822
Cr290	NGC5823
Cr291	NGC5925
Cr293	NGC5999
Cr294	NGC6005
Cr296	NGC6025
Cr297	NGC6031
Cr298	NGC6067
Cr300	NGC6087
Cr301	NGC6124
Cr303	NGC6134
Cr304	NGC6152
Cr305	NGC6167
Cr306	NGC6169
Cr308	NGC6178
Cr309	NGC6192
Cr310	NGC6193
Cr311	NGC6200
Cr312	NGC6204
Cr313	NGC6208
Cr314	NGC6222
Cr315	NGC6231
Cr317	NGC6242
Cr319	NGC6249
Cr320	NGC6250
Cr321	NGC6253
Cr322	NGC6259
Cr323	NGC6268
Cr324	NGC6281
Cr325	NGC6318
Cr326	NGC6322
Cr327	IC4651
Cr328	NGC6352
Cr330	NGC6355
Cr334	NGC6374
Cr335	NGC6383
Cr339	NGC6396
Cr340	NGC6404
Cr341	NGC6405
Cr342	NGC6400
Cr344	NGC6416
Cr346	NGC6426
Cr348	NGC6425
Cr349	IC4665
Cr352	NGC6451
Cr353	NGC6469
Cr354	NGC6475
Cr356	NGC6494
Cr358	NGC6507
Cr360	NGC6514
Cr361	NGC6520
Cr362	NGC6530
Cr363	NGC6531
Cr364	NGC6540
Cr365	NGC6546
Cr366	NGC6544
Cr368	NGC6558
Cr369	NGC6568
Cr370	NGC6583
Cr371	NGC6595
Cr373	NGC6604
Cr374	NGC6603
Cr375	NGC6611
Cr376	NGC6613
Cr377	NGC6618
Cr379	NGC6631
Cr380	NGC6633
Cr381	NGC6642
Cr382	IC4725
Cr383	NGC6645
Cr384	NGC6649
Cr385	NGC6664
Cr386	IC4756
Cr389	NGC6694
Cr390	NGC6704
Cr391	NGC6705
Cr392	NGC6709
Cr393	NGC6716
Cr395	NGC6717
Cr396	NGC6738
Cr397	NGC6755
Cr398	NGC6756
Cr400	NGC6802
Cr402	NGC6811
Cr403	NGC6819
Cr404	NGC6820
Cr405	NGC6823
Cr406	NGC6830
Cr407	NGC6834
Cr409	NGC6838
Cr410	NGC6846
Cr412	NGC6866
Cr413	NGC6871
Cr414	IC1311
Cr415	NGC6883
Cr416	NGC6882
Cr417	NGC6885
Cr418	IC4996
Cr420	NGC6910
Cr422	NGC6913
Cr423	NGC6939
Cr424	NGC6940
Cr425	NGC6996
Cr426	NGC6994
Cr429	NGC7023
Cr430	NGC7031
Cr431	NGC7039
Cr432	IC1369
Cr433	NGC7044
Cr434	NGC7062
Cr435	NGC7063
Cr436	NGC7067
Cr437	NGC7086
Cr438	NGC7092
Cr439	IC1396
Cr440	NGC7128
Cr441	NGC7129
Cr442	NGC7142
Cr443	NGC7160
Cr444	NGC7209
Cr445	IC1434
Cr446	NGC7226
Cr447	NGC7235
Cr448	NGC7243
Cr449	NGC7245
Cr450	NGC7261
Cr451	NGC7296
Cr452	NGC7380
Cr453	NGC7419
Cr454	NGC7510
Cr455	NGC7654
Cr456	NGC7686
Cr457	NGC7762
Cr459	NGC7788
Cr460	NGC7789
Cr461	NGC7790
Cr462	NGC189
Cr470	IC5146
C1	NGC188
C2	NGC40
C3	NGC4236
C4	NGC7023
C5	IC342
C6	NGC6543
C7	NGC2403
C8	NGC559
C10	NGC663
C11	NGC7635
C12	NGC6946
C13	NGC457
C14	NGC869
C14	NGC884
C15	NGC6826
C16	NGC7243
C17	NGC147
C18	NGC185
C19	IC5146
C20	NGC7000
C21	NGC4449
C22	NGC7662
C23	NGC891
C24	NGC1275
C25	NGC2419
C26	NGC4244
C27	NGC6888
C28	NGC752
C29	NGC5005
C30	NGC7331
C31	IC405
C32	NGC4631
C33	NGC6992
C34	NGC6960
C35	NGC4889
C36	NGC4559
C37	NGC6885
C38	NGC4565
C39	NGC2392
C40	NGC3626
C42	NGC7006
C43	NGC7814
C44	NGC7479
C45	NGC5248
C46	NGC2261
C47	NGC6934
C48	NGC2775
C49	NGC2237
C50	NGC2244
C51	IC1613
C52	NGC4697
C53	NGC3115
C54	NGC2506
C55	NGC7009
C56	NGC246
C57	NGC6822
C58	NGC2360
C59	NGC3242
C60	NGC4038
C61	NGC4039
C62	NGC247
C63	NGC7293
C64	NGC2362
C65	NGC253
C66	NGC5694
C67	NGC1097
C68	NGC6729
C69	NGC6302
C70	NGC300
C71	NGC2477
C72	NGC55
C73	NGC1851
C74	NGC3132
C75	NGC6124
C76	NGC6231
C77	NGC5128
C78	NGC6541
C79	NGC3201
C80	NGC5139
C81	NGC6352
C82	NGC6193
C83	NGC4945
C84	NGC5286
C85	IC2391
C86	NGC6397
C87	NGC1261
C88	NGC5823
C89	NGC6087
C90	NGC2867
C91	NGC3532
C92	NGC3372
C93	NGC6752
