PGC3541589	IC2629
PGC3471114	IC2644
PGC3541900	IC2654
PGC3768035	IC2657
PGC3471217	IC2676
PGC3542113	IC2683
PGC1419739	IC2689
PGC3542421	IC2719
PGC3769216	IC2722
PGC4000777	IC2767
PGC4000783	IC2771
PGC3542933	IC2791
PGC3542941	IC2792
PGC3543021	IC2800
PGC3472063	IC2811
PGC3472097	IC2814
PGC3472124	IC2816
PGC3770960	IC2821
PGC3472289	IC2837
PGC3472295	IC2839
PGC3771421	IC2847
PGC3543432	IC2848
PGC4281136	IC2855
PGC3771626	IC2860
PGC3472525	IC2878
PGC3543729	IC2886
PGC3472701	IC2892
PGC3788068	IC3264
PGC3788156	IC3269
PGC3788174	IC3270
PGC3788218	IC3276
PGC4662913	IC3277
PGC3788276	IC3283
PGC4662912	IC3287
PGC3788335	IC3288
PGC3788417	IC3293
PGC3791763	IC3531
PGC3794528	IC3689
PGC4338751	IC3696
PGC4339550	IC3715
PGC4341159	IC3762
PGC3796270	IC3785
PGC3796372	IC3793
PGC3082083	IC3825
PGC4344711	IC3837
PGC3798020	IC3861
PGC3798327	IC3876
PGC3798727	IC3905
PGC4347854	IC3907
PGC3799557	IC3937
PGC3799582	IC3945
PGC3799718	IC3952
PGC3799842	IC3954
PGC3799830	IC3958
PGC3799919	IC3965
PGC4350039	IC3978
PGC3800150	IC4018
PGC3800326	IC4023
PGC4350665	IC4025
PGC3800266	IC4031
PGC3800658	IC4059
PGC3800823	IC4070
PGC3800854	IC4074
PGC3800850	IC4075
PGC3800931	IC4087
PGC3800940	IC4089
PGC3801008	IC4091
PGC3801037	IC4105
PGC3801248	IC4110
PGC3801347	IC4119
PGC3801517	IC4129
PGC3801673	IC4146
PGC4662909	IC4147
PGC3801676	IC4148
PGC3802029	IC4169
PGC3556145	IC4282
PGC3947737	IC5126
PGC3978734	IC5299
