IC0001,0:08:27,+27:43:03.6
IC0002,0:11:01,-12:49:22.3
IC0003,0:12:06,-00:24:54.8
IC0004,0:13:27,+17:29:11.2
IC0005,0:17:35,-09:32:36.1
IC0006,0:18:55,-03:16:33.9
IC0007,0:18:53,+10:35:40.9
IC0008,0:19:03,-03:13:19.5
IC0009,0:19:44,-14:07:18.8
IC0010,0:20:17,+59:18:13.6
IC0011,0:52:59,+56:37:18.8
IC0012,0:20:15,-02:39:11.2
IC0013,0:20:20,+07:42:01.8
IC0014,0:22:31,+10:29:24.9
IC0015,0:27:58,-00:03:40.6
IC0016,0:28:08,-13:05:38.1
IC0017,0:28:30,+02:38:55.0
IC0018,0:28:35,-11:35:12.1
IC0019,0:28:39,-11:38:26.8
IC0020,0:28:40,-13:00:37.1
IC0021,0:29:10,-00:09:49.6
IC0022,0:29:33,-09:04:50.7
IC0023,0:30:51,-12:43:12.9
IC0024,0:31:17,+30:50:21.5
IC0025,0:31:12,-00:24:26.5
IC0026,0:31:46,-13:20:14.9
IC0027,0:33:06,-13:22:17.4
IC0028,0:33:09,-13:27:22.6
IC0029,0:34:11,-02:10:39.5
IC0030,0:34:15,-02:05:04.5
IC0031,0:34:25,+12:16:05.4
IC0032,0:35:02,-02:08:30.1
IC0033,0:35:05,-02:08:15.7
IC0034,0:35:36,+09:07:27.3
IC0035,0:37:40,+10:21:28.7
IC0036,0:37:50,-15:26:28.6
IC0037,0:38:34,-15:21:31.3
IC0038,0:38:39,-15:25:11.4
IC0039,0:39:08,-14:10:22.2
IC0040,0:39:21,+02:27:22.4
IC0041,0:39:40,-14:10:27.6
IC0042,0:41:06,-15:25:41.1
IC0043,0:42:22,+29:38:29.9
IC0044,0:42:16,+00:50:43.8
IC0045,0:42:36,+29:39:18.9
IC0046,0:42:58,+27:15:12.5
IC0047,0:42:55,-13:44:26.6
IC0048,0:43:34,-08:11:11.4
IC0049,0:43:56,+01:51:01.0
IC0050,0:46:06,-09:30:10.8
IC0051,0:46:24,-13:26:32.5
IC0052,0:48:24,+04:05:30.7
IC0053,0:50:41,+10:36:01.0
IC0054,0:50:47,-02:17:16.0
IC0055,0:51:42,+07:43:06.7
IC0056,0:51:30,-12:50:39.5
IC0057,0:54:49,+11:50:28.3
IC0058,0:55:02,-13:40:41.1
IC0059,0:57:29,+61:08:37.2
IC0060,0:56:04,-13:21:28.5
IC0061,0:57:07,+07:30:25.5
IC0062,0:58:44,+11:48:28.8
IC0063,0:59:29,+60:54:42.1
IC0064,0:59:24,+27:03:32.6
IC0065,1:00:55,+47:40:55.1
IC0066,1:00:33,+30:47:50.0
IC0067,1:00:18,-06:54:38.7
IC0068,1:00:22,-06:56:38.8
IC0069,1:01:24,+31:02:27.0
IC0070,1:01:04,+00:03:02.7
IC0071,1:01:19,-06:46:01.8
IC0072,1:01:35,-06:46:40.6
IC0073,1:04:53,+04:46:01.7
IC0074,1:05:56,+04:05:24.9
IC0075,1:07:12,+10:50:12.8
IC0076,1:08:12,-04:33:16.2
IC0077,1:08:44,-15:25:15.3
IC0078,1:08:48,-15:50:42.3
IC0079,1:08:50,-15:56:54.9
IC0080,1:08:51,-15:24:27.0
IC0081,1:09:22,-01:41:45.1
IC0082,1:09:06,-16:00:01.1
IC0083,1:10:30,+01:41:21.7
IC0084,1:11:26,+01:38:24.7
IC0085,1:11:50,-00:27:08.9
IC0086,1:13:29,-16:14:30.0
IC0087,1:14:16,+00:45:55.2
IC0088,1:14:31,+00:47:30.3
IC0089,1:16:04,+04:17:38.8
IC0090,1:16:30,-07:58:37.7
IC0091,1:18:39,+02:33:13.2
IC0092,1:19:49,+32:46:04.0
IC0093,1:19:02,-17:03:37.4
IC0094,1:20:05,+32:43:02.4
IC0095,1:19:18,-12:34:26.9
IC0096,1:20:33,+29:37:02.1
IC0097,1:20:02,+14:51:39.8
IC0098,1:20:55,-12:36:17.0
IC0099,1:22:27,-12:57:09.2
IC0100,1:22:54,-04:38:34.9
IC0101,1:24:09,+09:55:49.9
IC0102,1:24:26,+09:53:11.6
IC0103,1:24:36,+02:02:39.3
IC0104,1:24:34,-01:27:24.2
IC0105,1:24:46,+02:04:31.0
IC0106,1:24:42,-01:35:13.5
IC0107,1:25:25,+14:51:52.6
IC0108,1:24:39,-12:38:08.1
IC0109,1:25:13,+02:03:58.4
IC0110,1:25:47,+33:30:52.9
IC0111,1:26:00,+33:29:49.6
IC0112,1:26:03,+11:26:34.7
IC0113,1:26:26,+19:11:31.1
IC0114,1:26:23,+09:54:35.8
IC0115,1:26:54,+19:12:52.9
IC0116,1:26:51,-04:58:56.2
IC0117,1:27:25,-01:51:36.7
IC0118,1:27:36,-04:59:50.9
IC0119,1:27:55,-02:02:25.7
IC0120,1:28:13,-01:54:55.9
IC0121,1:28:22,+02:30:46.9
IC0122,1:28:13,-14:50:20.0
IC0123,1:28:51,+02:26:47.2
IC0124,1:29:09,-01:56:13.3
IC0125,1:29:18,-13:16:47.4
IC0126,1:29:48,-01:59:01.5
IC0127,1:29:48,-06:58:48.2
IC0128,1:31:24,-12:37:27.8
IC0129,1:31:31,-12:39:15.8
IC0130,1:31:29,-15:35:29.8
IC0131,1:33:15,+30:45:11.7
IC0132,1:33:16,+30:56:44.2
IC0133,1:33:15,+30:53:18.2
IC0134,1:33:25,+30:54:02.4
IC0135,1:34:16,+30:37:12.3
IC0136,1:34:16,+30:33:43.4
IC0137,1:33:39,+30:31:21.0
IC0138,1:33:02,-00:41:23.4
IC0139,1:33:59,+30:34:02.8
IC0140,1:33:58,+30:33:00.5
IC0141,1:32:52,-14:48:52.6
IC0142,1:33:56,+30:45:28.1
IC0143,1:34:11,+30:46:35.1
IC0144,1:37:41,-13:18:52.8
IC0145,1:38:38,+00:44:29.4
IC0146,1:38:40,-17:49:52.3
IC0147,1:40:00,-14:51:45.5
IC0148,1:42:27,+13:58:37.3
IC0149,1:42:25,-16:18:01.5
IC0150,1:42:58,+04:12:00.6
IC0151,1:43:57,+13:12:09.4
IC0152,1:44:07,+13:02:09.1
IC0153,1:44:36,+12:37:44.2
IC0154,1:45:16,+10:38:57.1
IC0155,1:47:32,+60:36:39.0
IC0156,1:45:29,+10:33:09.8
IC0157,1:45:42,+12:52:24.0
IC0158,1:45:54,-06:56:08.5
IC0159,1:46:25,-08:38:11.8
IC0160,1:46:30,-13:14:51.8
IC0161,1:48:44,+10:30:28.4
IC0162,1:48:53,+10:31:17.8
IC0163,1:49:15,+20:42:40.7
IC0164,1:49:08,-03:54:15.8
IC0165,1:50:14,+27:38:44.4
IC0166,1:52:24,+61:51:09.4
IC0167,1:51:09,+21:54:46.1
IC0168,1:50:28,-08:31:22.6
IC0169,1:50:39,-12:40:46.6
IC0170,1:51:58,-08:31:03.4
IC0171,1:55:10,+35:16:54.8
IC0172,1:54:54,+00:48:40.4
IC0173,1:55:57,+01:17:06.6
IC0174,1:56:16,+03:45:42.7
IC0175,1:56:19,+01:19:56.7
IC0176,1:56:53,-02:01:08.3
IC0177,1:57:01,-00:05:23.5
IC0178,1:58:55,+36:40:28.9
IC0179,2:00:12,+38:01:16.8
IC0180,2:00:00,+23:36:15.6
IC0181,2:00:02,+23:39:31.1
IC0182,1:59:52,+07:24:42.6
IC0183,1:59:34,-05:20:49.7
IC0184,1:59:51,-06:50:25.4
IC0185,2:00:06,-01:31:42.0
IC0186,2:00:25,-01:33:06.2
IC0187,2:01:31,+26:28:51.5
IC0188,2:01:47,+26:32:48.8
IC0189,2:01:53,+23:33:05.4
IC0190,2:02:07,+23:32:59.4
IC0191,2:02:29,+18:22:22.8
IC0192,2:02:32,+16:00:51.0
IC0193,2:02:31,+11:05:35.1
IC0194,2:03:05,+02:36:51.3
IC0195,2:03:45,+14:42:33.4
IC0196,2:03:50,+14:44:20.9
IC0197,2:04:05,+02:47:12.6
IC0198,2:06:03,+09:17:44.0
IC0199,2:06:19,+09:13:38.7
IC0200,2:05:27,+31:10:31.2
IC0201,2:07:15,+09:06:54.2
IC0202,2:07:29,+09:10:05.9
IC0203,2:07:30,+09:07:21.5
