2020-1-26	20:00:00

目标	可见度	时角	高度角
M45	4.44	23:56:38	87.06	
M42	3.11	22:8:21	51.78	
M47	3.03	20:7:3	22.59	双筒适合
M36	2.74	22:7:20	62.08	
M44	2.61	19:3:14	21.17	双筒适合
M41	2.58	20:57:38	28.76	双筒适合
M50	2.44	20:40:51	32.86	双筒适合
M35	2.43	21:34:44	56.48	
M103	2.28	2:10:15	44.53	双筒适合
M37	2.16	21:51:20	59.33	
M31	2.11	3:0:54	47.11	双筒适合
M34	2.01	1:1:33	64.96	
M52	1.73	4:18:50	30.57	双筒适合
M93	1.68	19:59:8	16.05	双筒适合
M48	1.63	19:29:56	18.55	双筒适合
M38	1.55	22:14:56	62.85	
M1	1.54	22:9:7	64.26	
M78	1.49	21:56:52	53.19	
M46	1.48	20:1:52	21.35	双筒适合
M79	1.48	22:19:28	38.09	双筒适合
M32	1.28	3:0:57	47.2	双筒适合
M33	0.85	2:9:48	59.48	
M76	0.81	2:1:19	51.64	
M67	0.8	18:52:20	16.3	
M77	0.67	1:0:58	64.02	
M110	0.28	3:3:16	46.58	
----------------------
2020-1-27	00:00:00

目标	可见度	时角	高度角
M45	4.44	4:0:34	34.87	双筒适合
M42	3.11	2:12:17	48.01	双筒适合
M47	3.03	0:10:59	54.14	
M36	2.74	2:11:16	58.41	
M44	2.61	23:7:10	77.53	
M41	2.58	1:1:34	45.35	双筒适合
M40	2.56	19:25:22	29.17	双筒适合
M50	2.44	0:44:47	58.41	
M35	2.43	1:38:40	67.09	
M37	2.16	1:55:16	62.06	
M3	2.14	18:5:23	11.05	双筒适合
M34	2.01	5:5:29	24.06	双筒适合
M93	1.68	0:3:4	44.86	双筒适合
M48	1.63	23:33:52	62.22	
M38	1.55	2:18:52	56.45	
M1	1.54	2:13:3	59.14	
M78	1.49	2:0:48	53.65	
M46	1.48	0:5:48	53.88	
M79	1.48	2:23:24	32.45	双筒适合
M104	1.4	19:7:35	11.08	双筒适合
M81	1.16	21:52:1	38.41	双筒适合
M82	1.1	21:51:42	37.92	双筒适合
M53	1.03	18:34:39	14.27	双筒适合
M68	0.94	19:8:7	4.61	
M64	0.91	18:50:51	18.94	
M67	0.8	22:56:16	72.05	
M87	0.8	19:16:45	22.15	
M94	0.79	18:56:41	24.24	
M51	0.78	18:17:42	18.37	
M60	0.74	19:3:54	18.9	
M66	0.74	20:27:19	38.74	
M49	0.72	19:17:48	20.96	
M77	0.67	5:4:54	12.81	
M105	0.59	20:59:45	46.17	
M84	0.57	19:22:31	23.64	
M65	0.54	20:28:39	39.08	
M86	0.54	19:21:23	23.39	
M97	0.54	20:32:47	38.88	
M85	0.53	19:22:10	25.08	
M59	0.46	19:5:32	19.31	
M63	0.44	18:31:45	19.79	
M106	0.38	19:28:37	30.33	
M96	0.31	21:0:49	46.18	
M88	0.3	19:15:35	22.5	
M58	0.15	19:9:51	20.37	
M89	0.15	19:11:55	21.08	
M100	0.11	19:24:40	25.0	
M108	0.09	20:36:4	39.09	
M90	0.08	19:10:45	21.0	
M99	0.01	19:28:45	25.54	
----------------------
2020-1-27	04:00:00

目标	可见度	时角	高度角
M47	3.03	4:10:59	18.81	双筒适合
M44	2.61	3:7:10	46.29	双筒适合
M41	2.58	5:1:34	5.23	双筒适合
M40	2.56	23:25:22	52.66	
M5	2.55	20:29:1	35.23	双筒适合
M92	2.46	18:30:27	19.77	双筒适合
M13	2.45	19:5:53	25.35	双筒适合
M50	2.44	4:44:47	14.16	双筒适合
M35	2.43	5:38:40	13.21	双筒适合
M37	2.16	5:55:16	12.21	双筒适合
M3	2.14	22:5:23	63.12	
M4	2.04	19:23:59	7.85	双筒适合
M80	1.85	19:30:32	10.86	双筒适合
M10	1.83	18:50:25	10.19	双筒适合
M12	1.73	19:0:20	13.3	双筒适合
M93	1.68	4:3:4	15.63	双筒适合
M48	1.63	3:33:52	31.03	双筒适合
M46	1.48	4:5:48	19.74	双筒适合
M104	1.4	23:7:35	54.67	
M83	1.18	22:10:34	32.48	双筒适合
M81	1.16	1:52:1	39.27	双筒适合
M82	1.1	1:51:42	38.77	双筒适合
M107	1.09	19:15:3	12.12	双筒适合
M53	1.03	22:34:39	69.69	
M68	0.94	23:8:7	40.36	
M64	0.91	22:50:51	73.92	
M67	0.8	2:56:16	46.85	
M87	0.8	23:16:45	76.37	
M94	0.79	22:56:41	66.07	
M51	0.78	22:17:42	56.87	
M60	0.74	23:3:54	73.42	
M66	0.74	0:27:19	79.46	
M49	0.72	23:17:48	73.27	
M105	0.59	0:59:45	73.29	
M84	0.57	23:22:31	77.73	
M65	0.54	0:28:39	79.33	
M86	0.54	23:21:23	77.58	
M97	0.54	0:32:47	55.7	
M85	0.53	23:22:10	80.58	
M59	0.46	23:5:32	73.79	
M63	0.44	22:31:45	62.18	
M106	0.38	23:28:37	63.21	
M96	0.31	1:0:49	72.65	
M88	0.3	23:15:35	77.41	
M58	0.15	23:9:51	74.72	
